Protein id	Contig id	Start	Stop	Strand	Element symbol	Element name	Scope	Type	Subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference	% Identity to reference	Alignment length	Closest reference accession	Closest reference name	HMM accession	HMM description
NA	CP032365.1	676568	678964	+	inhA2	M6 family metalloprotease immune inhibitor InhA2	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	799	799	100.00	98.00	799	AAP24685.1	M6 family metalloprotease immune inhibitor InhA2	NA	NA
NA	CP032365.1	683583	684431	+	cerA	phospholipase CerA	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	283	283	100.00	98.94	283	AAS39677.1	phospholipase CerA	NA	NA
NA	CP032365.1	684492	685505	+	sph	sphingomyelinase C	plus	VIRULENCE	VIRULENCE	NA	NA	INTERNAL_STOP	338	338	100.00	98.22	338	AAP24691.1	sphingomyelinase C	NA	NA
NA	CP032365.1	1258614	1260998	+	inhA1	M6 family metalloprotease immune inhibitor InhA1	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	795	796	100.00	94.22	796	ADH05944.1	M6 family metalloprotease immune inhibitor InhA1	NA	NA
NA	CP032365.1	1781843	1783000	+	nheA	non-hemolytic enterotoxin NHE subunit A	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	386	386	100.00	96.11	386	AAS40892.1	non-hemolytic enterotoxin NHE subunit A	NA	NA
NA	CP032365.1	1783035	1784240	+	nheB	non-hemolytic enterotoxin NHE subunit B	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	402	402	100.00	99.00	402	AAS40893.1	non-hemolytic enterotoxin NHE subunit B	NA	NA
NA	CP032365.1	1784351	1785427	+	nheC	non-hemolytic enterotoxin NHE subunit C	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	359	359	100.00	95.54	359	AAS40894.1	non-hemolytic enterotoxin NHE subunit C	NA	NA
NA	CP032365.1	1899516	1900793	+	entFM	enterotoxin EntFM	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	426	430	100.00	97.44	430	AAP08924.1	enterotoxin EntFM	NA	NA
NA	CP032365.1	2310692	2312008	+	hblC	hemolytic enterotoxin HBL lytic component L2	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	439	439	100.00	94.53	439	AAP10048.1	hemolytic enterotoxin HBL lytic component L2	NA	NA
NA	CP032365.1	2312073	2313290	+	hblD	hemolytic enterotoxin HBL lytic component L1	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	406	406	100.00	99.01	406	AAP10047.1	hemolytic enterotoxin HBL lytic component L1	NA	NA
NA	CP032365.1	2313330	2314454	+	hblB	hemolytic enterotoxin HBL binding subunit HblB	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	375	375	100.00	94.93	375	AAP10046.1	hemolytic enterotoxin HBL binding subunit HblB	NA	NA
NA	CP032365.1	2456614	2457528	+	bla	class A beta-lactamase Bla1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTX	305	306	99.67	93.44	305	WP_063842248.1	class A beta-lactamase Bla1	NA	NA
NA	CP032365.1	3058200	3058751	+	satA	streptothricin N-acetyltransferase SatA	core	AMR	AMR	STREPTOTHRICIN	STREPTOTHRICIN	BLASTX	184	184	98.91	89.67	184	WP_000054744.1	streptothricin N-acetyltransferase SatA	NA	NA
NA	CP032365.1	3370722	3371492	-	bla2	BcII family subclass B1 metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	BLASTX	257	257	100.00	94.55	257	WP_012261328.1	BcII family subclass B1 metallo-beta-lactamase	NA	NA
NA	CP032365.1	5065316	5066842	-	alo	anthrolysin O/cereolysin O family cholesterol-dependent cytolysin Alo	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	509	509	100.00	98.82	509	AAX88798.1	anthrolysin O/cereolysin O family cholesterol-dependent cytolysin Alo	NA	NA
NA	CP032365.1	5306054	5306908	-	plcR	transcriptional regulator PlcR	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	285	285	100.00	94.74	285	AAD41788.1	transcriptional regulator PlcR	NA	NA
