Protein id	Contig id	Start	Stop	Strand	Element symbol	Element name	Scope	Type	Subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference	% Identity to reference	Alignment length	Closest reference accession	Closest reference name	HMM accession	HMM description
NA	CP090421.1	675569	677965	+	inhA2	M6 family metalloprotease immune inhibitor InhA2	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTX	799	799	100.00	100.00	799	AAP07680.1	M6 family metalloprotease immune inhibitor InhA2	NA	NA
NA	CP090421.1	681777	682625	+	cerA	phospholipase CerA	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	283	283	100.00	95.05	283	AAS39677.1	phospholipase CerA	NA	NA
NA	CP090421.1	682690	683703	+	sph	sphingomyelinase C	plus	VIRULENCE	VIRULENCE	NA	NA	INTERNAL_STOP	338	338	100.00	98.82	338	CAF33353.1	sphingomyelinase C	NA	NA
NA	CP090421.1	1105436	1106443	-	cytK2	beta-channel forming cytolysin CytK2	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	336	336	100.00	99.70	336	AAP08097.1	beta-channel forming cytolysin CytK2	NA	NA
NA	CP090421.1	1263020	1265407	+	inhA1	M6 family metalloprotease immune inhibitor InhA1	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTX	796	796	100.00	100.00	796	ADH05944.1	M6 family metalloprotease immune inhibitor InhA1	NA	NA
NA	CP090421.1	1762851	1764008	+	nheA	non-hemolytic enterotoxin NHE subunit A	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	386	386	100.00	97.15	386	AAS40892.1	non-hemolytic enterotoxin NHE subunit A	NA	NA
NA	CP090421.1	1764049	1765254	+	nheB	non-hemolytic enterotoxin NHE subunit B	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	402	402	100.00	99.25	402	AAS40893.1	non-hemolytic enterotoxin NHE subunit B	NA	NA
NA	CP090421.1	1765365	1766441	+	nheC	non-hemolytic enterotoxin NHE subunit C	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTX	359	359	100.00	100.00	359	AAP08785.1	non-hemolytic enterotoxin NHE subunit C	NA	NA
NA	CP090421.1	1841263	1842540	+	entFM	enterotoxin EntFM	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	426	430	100.00	99.07	430	AAP08924.1	enterotoxin EntFM	NA	NA
NA	CP090421.1	1912199	1912612	+	fosB	FosBx1 family fosfomycin resistance bacillithiol transferase	core	AMR	AMR	FOSFOMYCIN	FOSFOMYCIN	BLASTX	138	138	100.00	98.55	138	WP_000943763.1	fosfomycin resistance bacillithiol transferase FosBx1	NA	NA
NA	CP090421.1	2357275	2358192	+	bla	class A beta-lactamase Bla1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTX	306	306	100.00	97.71	306	WP_063842248.1	class A beta-lactamase Bla1	NA	NA
NA	CP090421.1	2913290	2914687	-	hblA	hemolytic enterotoxin HBL binding subunit HblA	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	466	466	100.00	98.07	466	CAB64770.1	hemolytic enterotoxin HBL binding subunit HblA	NA	NA
NA	CP090421.1	2915066	2916190	-	hblB	hemolytic enterotoxin HBL binding subunit HblB	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	375	375	100.00	98.67	375	AAP10046.1	hemolytic enterotoxin HBL binding subunit HblB	NA	NA
NA	CP090421.1	2916230	2917447	-	hblD	hemolytic enterotoxin HBL lytic component L1	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	406	406	100.00	99.75	406	AAP10047.1	hemolytic enterotoxin HBL lytic component L1	NA	NA
NA	CP090421.1	2917511	2918827	-	hblC	hemolytic enterotoxin HBL lytic component L2	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	439	439	100.00	99.54	439	AAP10048.1	hemolytic enterotoxin HBL lytic component L2	NA	NA
NA	CP090421.1	2974736	2975287	+	satA	streptothricin N-acetyltransferase SatA	core	AMR	AMR	STREPTOTHRICIN	STREPTOTHRICIN	BLASTX	184	184	98.91	88.59	184	WP_000054744.1	streptothricin N-acetyltransferase SatA	NA	NA
NA	CP090421.1	3247674	3248444	-	bla2	BcII family subclass B1 metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	BLASTX	257	257	100.00	94.16	257	WP_063839879.1	BcII family subclass B1 metallo-beta-lactamase	NA	NA
NA	CP090421.1	3687405	3688391	-	plcA	phosphatidylinositol diacylglycerol-lyase	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	329	329	100.00	99.70	329	AAP10686.1	phosphatidylinositol diacylglycerol-lyase	NA	NA
NA	CP090421.1	4949733	4951259	-	alo	anthrolysin O/cereolysin O family cholesterol-dependent cytolysin Alo	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	509	509	100.00	99.41	509	AAX88798.1	anthrolysin O/cereolysin O family cholesterol-dependent cytolysin Alo	NA	NA
NA	CP090421.1	5118981	5119847	-	bpsC	UTP--glucose-1-phosphate uridylyltransferase BpsC	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	289	295	97.97	89.62	289	AJI07989.1	UTP--glucose-1-phosphate uridylyltransferase BpsC	NA	NA
NA	CP090421.1	5193811	5194665	-	plcR	transcriptional regulator PlcR	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	285	285	100.00	99.30	285	AAD41788.1	transcriptional regulator PlcR	NA	NA
