Protein id	Contig id	Start	Stop	Strand	Element symbol	Element name	Scope	Type	Subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference	% Identity to reference	Alignment length	Closest reference accession	Closest reference name	HMM accession	HMM description
NA	PVRM01000001.1	54873	55949	-	nheC	non-hemolytic enterotoxin NHE subunit C	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	359	359	100.00	98.33	359	AAP08785.1	non-hemolytic enterotoxin NHE subunit C	NA	NA
NA	PVRM01000001.1	56060	57265	-	nheB	non-hemolytic enterotoxin NHE subunit B	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	402	402	100.00	99.50	402	AAS40893.1	non-hemolytic enterotoxin NHE subunit B	NA	NA
NA	PVRM01000001.1	57306	58463	-	nheA	non-hemolytic enterotoxin NHE subunit A	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	386	386	100.00	97.15	386	AAS40892.1	non-hemolytic enterotoxin NHE subunit A	NA	NA
NA	PVRM01000003.1	249831	252215	-	inhA1	M6 family metalloprotease immune inhibitor InhA1	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	795	796	100.00	94.47	796	ADH05944.1	M6 family metalloprotease immune inhibitor InhA1	NA	NA
NA	PVRM01000007.1	117139	117552	-	fosB	FosBx1 family fosfomycin resistance bacillithiol transferase	core	AMR	AMR	FOSFOMYCIN	FOSFOMYCIN	BLASTX	138	138	100.00	97.10	138	WP_000943763.1	fosfomycin resistance bacillithiol transferase FosBx1	NA	NA
NA	PVRM01000007.1	186008	187297	-	entFM	enterotoxin EntFM	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	430	430	100.00	97.70	434	AAP08924.1	enterotoxin EntFM	NA	NA
NA	PVRM01000008.1	36544	38070	+	alo	anthrolysin O/cereolysin O family cholesterol-dependent cytolysin Alo	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	509	509	100.00	98.82	509	AAX88798.1	anthrolysin O/cereolysin O family cholesterol-dependent cytolysin Alo	NA	NA
NA	PVRM01000020.1	8016	8666	+	hlyII	hemolysin II HlyII	plus	VIRULENCE	VIRULENCE	NA	NA	PARTIALX	217	412	52.67	99.08	217	AAP10457.1	hemolysin II HlyII	NA	NA
NA	PVRM01000020.1	9177	9776	+	hlyIIR	hemolysin II regulator HlyIIR	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	200	201	99.50	95.50	200	AAO74585.1	hemolysin II regulator HlyIIR	NA	NA
NA	PVRM01000028.1	25018	25569	-	satA	streptothricin N-acetyltransferase SatA	core	AMR	AMR	STREPTOTHRICIN	STREPTOTHRICIN	BLASTX	184	184	98.91	89.67	184	WP_000054744.1	streptothricin N-acetyltransferase SatA	NA	NA
NA	PVRM01000032.1	568	1581	+	sph	sphingomyelinase C	plus	VIRULENCE	VIRULENCE	NA	NA	INTERNAL_STOP	338	338	100.00	98.22	338	CAF33353.1	sphingomyelinase C	NA	NA
NA	PVRM01000042.1	21763	23160	-	hblA	hemolytic enterotoxin HBL binding subunit HblA	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	466	466	100.00	98.28	466	CAB64770.1	hemolytic enterotoxin HBL binding subunit HblA	NA	NA
NA	PVRM01000042.1	23538	24662	-	hblB	hemolytic enterotoxin HBL binding subunit HblB	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	375	375	100.00	99.47	375	AAP10046.1	hemolytic enterotoxin HBL binding subunit HblB	NA	NA
NA	PVRM01000042.1	24702	25919	-	hblD	hemolytic enterotoxin HBL lytic component L1	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	406	406	100.00	99.75	406	AAP10047.1	hemolytic enterotoxin HBL lytic component L1	NA	NA
NA	PVRM01000042.1	25984	27300	-	hblC	hemolytic enterotoxin HBL lytic component L2	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	439	439	100.00	98.18	439	AAP10048.1	hemolytic enterotoxin HBL lytic component L2	NA	NA
NA	PVRM01000049.1	15634	16146	-	bla2	BcII family subclass B1 metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	INTERNAL_STOP	171	257	66.54	91.81	171	WP_012261328.1	BcII family subclass B1 metallo-beta-lactamase	NA	NA
NA	PVRM01000072.1	9641	10618	-	plcA	phosphatidylinositol diacylglycerol-lyase	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	326	329	99.09	95.71	326	AAP10686.1	phosphatidylinositol diacylglycerol-lyase	NA	NA
