Protein id	Contig id	Start	Stop	Strand	Element symbol	Element name	Scope	Type	Subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference	% Identity to reference	Alignment length	Closest reference accession	Closest reference name	HMM accession	HMM description
NA	PVRR01000001.1	465538	467922	+	inhA1	M6 family metalloprotease immune inhibitor InhA1	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	795	796	100.00	94.10	796	ADH05944.1	M6 family metalloprotease immune inhibitor InhA1	NA	NA
NA	PVRR01000001.1	982818	983975	+	nheA	non-hemolytic enterotoxin NHE subunit A	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	386	386	100.00	97.15	386	AAS40892.1	non-hemolytic enterotoxin NHE subunit A	NA	NA
NA	PVRR01000001.1	984016	985218	+	nheB	non-hemolytic enterotoxin NHE subunit B	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	401	402	99.75	99.00	401	AAS40893.1	non-hemolytic enterotoxin NHE subunit B	NA	NA
NA	PVRR01000001.1	985332	986408	+	nheC	non-hemolytic enterotoxin NHE subunit C	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	359	359	100.00	95.54	359	AAS40894.1	non-hemolytic enterotoxin NHE subunit C	NA	NA
NA	PVRR01000001.1	1088839	1090122	+	entFM	enterotoxin EntFM	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	428	430	100.00	96.76	432	AAP08924.1	enterotoxin EntFM	NA	NA
NA	PVRR01000003.1	83068	83994	+	bla	class A beta-lactamase Bla1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTX	309	309	100.00	90.94	309	WP_011053164.1	class A beta-lactamase Bla1	NA	NA
NA	PVRR01000003.1	772738	773283	+	satA	streptothricin N-acetyltransferase SatA	core	AMR	AMR	STREPTOTHRICIN	STREPTOTHRICIN	BLASTX	182	184	98.91	93.41	182	WP_000054744.1	streptothricin N-acetyltransferase SatA	NA	NA
NA	PVRR01000004.1	190080	191606	-	alo	anthrolysin O/cereolysin O family cholesterol-dependent cytolysin Alo	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	509	509	100.00	98.23	509	AAX88798.1	anthrolysin O/cereolysin O family cholesterol-dependent cytolysin Alo	NA	NA
NA	PVRR01000004.1	347722	348588	-	bpsC	UTP--glucose-1-phosphate uridylyltransferase BpsC	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	289	295	97.97	90.66	289	AJI07989.1	UTP--glucose-1-phosphate uridylyltransferase BpsC	NA	NA
NA	PVRR01000005.1	48653	49777	-	hblB	hemolytic enterotoxin HBL binding subunit HblB	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	375	375	100.00	97.87	375	AAP10046.1	hemolytic enterotoxin HBL binding subunit HblB	NA	NA
NA	PVRR01000005.1	49817	51034	-	hblD	hemolytic enterotoxin HBL lytic component L1	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	406	406	100.00	99.01	406	AAP10047.1	hemolytic enterotoxin HBL lytic component L1	NA	NA
NA	PVRR01000005.1	51100	52416	-	hblC	hemolytic enterotoxin HBL lytic component L2	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	439	439	100.00	95.44	439	AAP10048.1	hemolytic enterotoxin HBL lytic component L2	NA	NA
NA	PVRR01000005.1	444780	445193	-	fosB	FosBx1 family fosfomycin resistance bacillithiol transferase	core	AMR	AMR	FOSFOMYCIN	FOSFOMYCIN	BLASTX	138	138	100.00	94.93	138	WP_000943763.1	fosfomycin resistance bacillithiol transferase FosBx1	NA	NA
NA	PVRR01000007.1	46981	47994	-	sph	sphingomyelinase C	plus	VIRULENCE	VIRULENCE	NA	NA	INTERNAL_STOP	338	338	100.00	97.63	338	AAP24691.1	sphingomyelinase C	NA	NA
NA	PVRR01000007.1	48056	48904	-	cerA	phospholipase CerA	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	283	283	100.00	98.59	283	AAS39677.1	phospholipase CerA	NA	NA
NA	PVRR01000007.1	55092	57488	-	inhA2	M6 family metalloprotease immune inhibitor InhA2	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	799	799	100.00	97.62	799	AAP24685.1	M6 family metalloprotease immune inhibitor InhA2	NA	NA
NA	PVRR01000009.1	15626	16861	+	hlyII	hemolysin II HlyII	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	412	412	100.00	96.12	412	AAP10457.1	hemolysin II HlyII	NA	NA
NA	PVRR01000009.1	17264	17863	+	hlyIIR	hemolysin II regulator HlyIIR	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	200	201	99.50	97.50	200	AAO74585.1	hemolysin II regulator HlyIIR	NA	NA
NA	PVRR01000009.1	85102	85872	+	bla2	BcII family subclass B1 metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	BLASTX	257	257	100.00	94.16	257	WP_012261328.1	BcII family subclass B1 metallo-beta-lactamase	NA	NA
