Protein id	Contig id	Start	Stop	Strand	Element symbol	Element name	Scope	Type	Subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference	% Identity to reference	Alignment length	Closest reference accession	Closest reference name	HMM accession	HMM description
NA	PVRQ01000001.1	48584	49708	-	hblB	hemolytic enterotoxin HBL binding subunit HblB	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	375	375	100.00	97.87	375	AAP10046.1	hemolytic enterotoxin HBL binding subunit HblB	NA	NA
NA	PVRQ01000001.1	49748	50965	-	hblD	hemolytic enterotoxin HBL lytic component L1	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	406	406	100.00	99.01	406	AAP10047.1	hemolytic enterotoxin HBL lytic component L1	NA	NA
NA	PVRQ01000001.1	51031	52347	-	hblC	hemolytic enterotoxin HBL lytic component L2	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	439	439	100.00	95.44	439	AAP10048.1	hemolytic enterotoxin HBL lytic component L2	NA	NA
NA	PVRQ01000001.1	421986	422399	-	fosB	FosBx1 family fosfomycin resistance bacillithiol transferase	core	AMR	AMR	FOSFOMYCIN	FOSFOMYCIN	BLASTX	138	138	100.00	94.93	138	WP_000943763.1	fosfomycin resistance bacillithiol transferase FosBx1	NA	NA
NA	PVRQ01000001.1	504528	505811	-	entFM	enterotoxin EntFM	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	428	430	100.00	96.76	432	AAP08924.1	enterotoxin EntFM	NA	NA
NA	PVRQ01000001.1	608248	609324	-	nheC	non-hemolytic enterotoxin NHE subunit C	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	359	359	100.00	95.26	359	AAS40894.1	non-hemolytic enterotoxin NHE subunit C	NA	NA
NA	PVRQ01000001.1	609435	610640	-	nheB	non-hemolytic enterotoxin NHE subunit B	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	402	402	100.00	98.76	402	AAS40893.1	non-hemolytic enterotoxin NHE subunit B	NA	NA
NA	PVRQ01000001.1	610681	611838	-	nheA	non-hemolytic enterotoxin NHE subunit A	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	386	386	100.00	97.15	386	AAS40892.1	non-hemolytic enterotoxin NHE subunit A	NA	NA
NA	PVRQ01000001.1	1126907	1129291	-	inhA1	M6 family metalloprotease immune inhibitor InhA1	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	795	796	100.00	94.22	796	ADH05944.1	M6 family metalloprotease immune inhibitor InhA1	NA	NA
NA	PVRQ01000003.1	92582	93127	-	satA	streptothricin N-acetyltransferase SatA	core	AMR	AMR	STREPTOTHRICIN	STREPTOTHRICIN	BLASTX	182	184	98.91	93.41	182	WP_000054744.1	streptothricin N-acetyltransferase SatA	NA	NA
NA	PVRQ01000003.1	805212	806138	-	bla	class A beta-lactamase Bla1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTX	309	309	100.00	91.26	309	WP_011053164.1	class A beta-lactamase Bla1	NA	NA
NA	PVRQ01000004.1	190051	191577	-	alo	anthrolysin O/cereolysin O family cholesterol-dependent cytolysin Alo	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	509	509	100.00	98.04	509	AAX88798.1	anthrolysin O/cereolysin O family cholesterol-dependent cytolysin Alo	NA	NA
NA	PVRQ01000004.1	347700	348566	-	bpsC	UTP--glucose-1-phosphate uridylyltransferase BpsC	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	289	295	97.97	90.66	289	AJI07989.1	UTP--glucose-1-phosphate uridylyltransferase BpsC	NA	NA
NA	PVRQ01000005.1	65761	66531	-	bla2	BcII family subclass B1 metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	BLASTX	257	257	100.00	94.16	257	WP_012261328.1	BcII family subclass B1 metallo-beta-lactamase	NA	NA
NA	PVRQ01000005.1	137117	137716	-	hlyIIR	hemolysin II regulator HlyIIR	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	200	201	99.50	97.50	200	AAO74585.1	hemolysin II regulator HlyIIR	NA	NA
NA	PVRQ01000005.1	138119	139354	-	hlyII	hemolysin II HlyII	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	412	412	100.00	96.12	412	AAP10457.1	hemolysin II HlyII	NA	NA
NA	PVRQ01000006.1	163533	165929	+	inhA2	M6 family metalloprotease immune inhibitor InhA2	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	799	799	100.00	97.62	799	AAP24685.1	M6 family metalloprotease immune inhibitor InhA2	NA	NA
NA	PVRQ01000006.1	170549	171397	+	cerA	phospholipase CerA	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	283	283	100.00	98.59	283	AAS39677.1	phospholipase CerA	NA	NA
NA	PVRQ01000006.1	171459	172472	+	sph	sphingomyelinase C	plus	VIRULENCE	VIRULENCE	NA	NA	INTERNAL_STOP	338	338	100.00	97.63	338	AAP24691.1	sphingomyelinase C	NA	NA
