Protein id	Contig id	Start	Stop	Strand	Element symbol	Element name	Scope	Type	Subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference	% Identity to reference	Alignment length	Closest reference accession	Closest reference name	HMM accession	HMM description
NA	PYWP01000001.1	517770	520154	+	inhA1	M6 family metalloprotease immune inhibitor InhA1	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	795	796	100.00	94.10	796	ADH05944.1	M6 family metalloprotease immune inhibitor InhA1	NA	NA
NA	PYWP01000002.1	632196	633116	-	bla	class A beta-lactamase Bla1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTX	307	309	99.35	90.55	307	WP_011053164.1	class A beta-lactamase Bla1	NA	NA
NA	PYWP01000003.1	55106	56263	+	nheA	non-hemolytic enterotoxin NHE subunit A	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	386	386	100.00	97.41	386	AAS40892.1	non-hemolytic enterotoxin NHE subunit A	NA	NA
NA	PYWP01000003.1	56298	57503	+	nheB	non-hemolytic enterotoxin NHE subunit B	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	402	402	100.00	99.00	402	AAS40893.1	non-hemolytic enterotoxin NHE subunit B	NA	NA
NA	PYWP01000003.1	57614	58690	+	nheC	non-hemolytic enterotoxin NHE subunit C	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	359	359	100.00	96.10	359	AAS40894.1	non-hemolytic enterotoxin NHE subunit C	NA	NA
NA	PYWP01000003.1	153309	154586	+	entFM	enterotoxin EntFM	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	426	430	100.00	97.21	430	AAP08924.1	enterotoxin EntFM	NA	NA
NA	PYWP01000003.1	227371	227784	+	fosB	FosBx1 family fosfomycin resistance bacillithiol transferase	core	AMR	AMR	FOSFOMYCIN	FOSFOMYCIN	BLASTX	138	138	100.00	93.48	138	WP_000943763.1	fosfomycin resistance bacillithiol transferase FosBx1	NA	NA
NA	PYWP01000003.1	541964	543280	+	hblC	hemolytic enterotoxin HBL lytic component L2	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	439	439	100.00	96.13	439	AAP10048.1	hemolytic enterotoxin HBL lytic component L2	NA	NA
NA	PYWP01000003.1	543345	544562	+	hblD	hemolytic enterotoxin HBL lytic component L1	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	406	406	100.00	99.01	406	AAP10047.1	hemolytic enterotoxin HBL lytic component L1	NA	NA
NA	PYWP01000003.1	544602	545726	+	hblB	hemolytic enterotoxin HBL binding subunit HblB	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	375	375	100.00	95.47	375	AAP10046.1	hemolytic enterotoxin HBL binding subunit HblB	NA	NA
NA	PYWP01000004.1	195803	197329	-	alo	anthrolysin O/cereolysin O family cholesterol-dependent cytolysin Alo	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	509	509	100.00	98.23	509	AAX88798.1	anthrolysin O/cereolysin O family cholesterol-dependent cytolysin Alo	NA	NA
NA	PYWP01000004.1	439282	440136	-	plcR	transcriptional regulator PlcR	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	285	285	100.00	94.74	285	AAD41788.1	transcriptional regulator PlcR	NA	NA
NA	PYWP01000006.1	331111	331881	+	bla2	BcII family subclass B1 metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	BLASTX	257	257	100.00	94.16	257	WP_012261328.1	BcII family subclass B1 metallo-beta-lactamase	NA	NA
NA	PYWP01000011.1	162884	165277	+	inhA2	M6 family metalloprotease immune inhibitor InhA2	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	798	799	100.00	98.00	799	AAP24685.1	M6 family metalloprotease immune inhibitor InhA2	NA	NA
NA	PYWP01000011.1	169896	170744	+	cerA	phospholipase CerA	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	283	283	100.00	98.59	283	AAS39677.1	phospholipase CerA	NA	NA
NA	PYWP01000011.1	170804	171817	+	sph	sphingomyelinase C	plus	VIRULENCE	VIRULENCE	NA	NA	INTERNAL_STOP	338	338	100.00	98.22	338	AAP24691.1	sphingomyelinase C	NA	NA
