Protein id	Contig id	Start	Stop	Strand	Element symbol	Element name	Scope	Type	Subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference	% Identity to reference	Alignment length	Closest reference accession	Closest reference name	HMM accession	HMM description
NA	PVRT01000001.1	68403	69680	-	entFM	enterotoxin EntFM	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	426	430	100.00	97.21	430	AAP08924.1	enterotoxin EntFM	NA	NA
NA	PVRT01000001.1	141108	142184	-	nheC	non-hemolytic enterotoxin NHE subunit C	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	359	359	100.00	95.54	359	AAS40894.1	non-hemolytic enterotoxin NHE subunit C	NA	NA
NA	PVRT01000001.1	142298	143500	-	nheB	non-hemolytic enterotoxin NHE subunit B	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	401	402	99.75	99.00	401	AAS40893.1	non-hemolytic enterotoxin NHE subunit B	NA	NA
NA	PVRT01000001.1	143541	144698	-	nheA	non-hemolytic enterotoxin NHE subunit A	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	386	386	100.00	97.15	386	AAS40892.1	non-hemolytic enterotoxin NHE subunit A	NA	NA
NA	PVRT01000001.1	672002	674386	-	inhA1	M6 family metalloprotease immune inhibitor InhA1	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	795	796	100.00	94.22	796	ADH05944.1	M6 family metalloprotease immune inhibitor InhA1	NA	NA
NA	PVRT01000003.1	192310	193836	-	alo	anthrolysin O/cereolysin O family cholesterol-dependent cytolysin Alo	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	509	509	100.00	98.04	509	AAX88798.1	anthrolysin O/cereolysin O family cholesterol-dependent cytolysin Alo	NA	NA
NA	PVRT01000003.1	353665	354531	-	bpsC	UTP--glucose-1-phosphate uridylyltransferase BpsC	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	289	295	97.97	90.31	289	AJI07989.1	UTP--glucose-1-phosphate uridylyltransferase BpsC	NA	NA
NA	PVRT01000003.1	429098	429952	-	plcR	transcriptional regulator PlcR	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	285	285	100.00	95.09	285	AAT61178.1	transcriptional regulator PlcR	NA	NA
NA	PVRT01000004.1	107102	108028	-	bla	class A beta-lactamase Bla1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTX	309	309	100.00	91.59	309	WP_011053164.1	class A beta-lactamase Bla1	NA	NA
NA	PVRT01000004.1	245639	246763	-	hblB	hemolytic enterotoxin HBL binding subunit HblB	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	375	375	100.00	97.87	375	AAP10046.1	hemolytic enterotoxin HBL binding subunit HblB	NA	NA
NA	PVRT01000004.1	246803	248020	-	hblD	hemolytic enterotoxin HBL lytic component L1	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	406	406	100.00	99.01	406	AAP10047.1	hemolytic enterotoxin HBL lytic component L1	NA	NA
NA	PVRT01000004.1	248086	249402	-	hblC	hemolytic enterotoxin HBL lytic component L2	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	439	439	100.00	95.22	439	AAP10048.1	hemolytic enterotoxin HBL lytic component L2	NA	NA
NA	PVRT01000004.1	566254	566619	-	fosB	FosBx1 family fosfomycin resistance bacillithiol transferase	core	AMR	AMR	FOSFOMYCIN	FOSFOMYCIN	PARTIALX	122	138	88.41	94.26	122	WP_000943763.1	fosfomycin resistance bacillithiol transferase FosBx1	NA	NA
NA	PVRT01000006.1	209346	210581	+	hlyII	hemolysin II HlyII	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	412	412	100.00	96.12	412	AAP10457.1	hemolysin II HlyII	NA	NA
NA	PVRT01000006.1	210984	211583	+	hlyIIR	hemolysin II regulator HlyIIR	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	200	201	99.50	97.00	200	AAO74585.1	hemolysin II regulator HlyIIR	NA	NA
NA	PVRT01000006.1	278989	279759	+	bla2	BcII family subclass B1 metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	BLASTX	257	257	100.00	94.55	257	WP_012261328.1	BcII family subclass B1 metallo-beta-lactamase	NA	NA
NA	PVRT01000008.1	149029	151425	+	inhA2	M6 family metalloprotease immune inhibitor InhA2	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	799	799	100.00	97.75	799	AAP24685.1	M6 family metalloprotease immune inhibitor InhA2	NA	NA
NA	PVRT01000008.1	156045	156893	+	cerA	phospholipase CerA	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	283	283	100.00	98.59	283	AAS39677.1	phospholipase CerA	NA	NA
NA	PVRT01000008.1	156955	157968	+	sph	sphingomyelinase C	plus	VIRULENCE	VIRULENCE	NA	NA	INTERNAL_STOP	338	338	100.00	97.34	338	AAP24691.1	sphingomyelinase C	NA	NA
